Year,Annual CO2 emissions,Primary energy consumption per GDP (kWh/$),Oil Consumption - TWh,GDP,,,
1965,153867847,1.039234757,146.9951324,5.96E+11,,SUM,52457.65027
1966,159540062,1.06150198,164.1496887,6.01E+11,,AVERAGE,971.4379679
1967,159725507,1.011860013,169.3602295,6.51E+11,,MAX,2688.04126
1968,174245743,1.053523183,189.7708893,6.68E+11,,MIN,146.9951324
1969,177589111,1.095251918,227.928833,7.13E+11,,COUNT,54
1970,181898660,1.020029306,226.891449,7.49E+11,,IF,sixties
1971,192144566,1.051253915,243.3324585,7.56E+11,,,
1972,203227421,1.109238029,262.3832703,7.54E+11,,,
1973,209291369,1.081799865,276.9590759,7.89E+11,,,
1974,216060663,1.13424921,271.5429688,7.97E+11,,,
1975,234438971,1.119815826,278.0928345,8.68E+11,,,
1976,244990017,1.160395741,293.2586975,8.79E+11,,,
1977,259214620,1.138433814,315.0440369,9.47E+11,,,
1978,263398423,1.123309255,342.3745117,9.98E+11,,,
1979,276542061,1.248468637,369.4727478,9.48E+11,,,
1980,291992232,1.200465918,376.8161621,1.02E+12,,,
1981,315265795,1.252301216,405.6552734,1.08E+12,,,
1982,325683632,1.201958537,422.6563416,1.11E+12,,,
1983,352530101,1.168587685,444.3529358,1.2E+12,,,
1984,361889225,1.201782823,477.0670166,1.25E+12,,,
1985,397952960,1.219977498,517.6358032,1.3E+12,,,
1986,426698557,1.253110886,544.2594604,1.35E+12,,,
1987,455758841,1.276009798,561.7667847,1.41E+12,,,
1988,492144025,1.257813096,616.5007935,1.56E+12,,,
1989,541134880,1.288319826,667.772644,1.66E+12,,,
1990,578518195,1.313940883,694.0582275,1.75E+12,,,
1991,615924923,1.377466559,706.1010742,1.76E+12,,,
1992,656033132,1.38559866,744.1865845,1.84E+12,,,
1993,677916275,1.354256511,752.0427856,1.93E+12,,,
1994,716917563,1.351845026,808.2667236,2.04E+12,,,
1995,762120642,1.364837408,901.3516846,2.17E+12,,,
1996,825918856,1.326155543,972.7613525,2.32E+12,,,
1997,859686238,1.353248239,1039.855713,2.4E+12,,,
1998,877698067,1.357271075,1113.507446,2.54E+12,,,
1999,951748674,1.323783636,1222.578979,2.68E+12,,,
2000,978919215,1.344475508,1281.237183,2.77E+12,,,
2001,992560136,1.287929058,1285.022217,2.91E+12,,,
2002,1023027203,1.293076873,1311.634277,2.99E+12,,,
2003,1059616164,1.246229529,1336.146606,3.21E+12,,,
2004,1125471265,1.258632421,1414.217773,3.45E+12,,,
2005,1185953364,1.241075635,1438.144043,3.71E+12,,,
2006,1259744276,1.205181241,1519.210449,4.02E+12,,,
2007,1358152218,1.208367705,1622.900635,4.36E+12,,,
2008,1462814598,1.210536361,1704.718994,4.6E+12,,,
2009,1612816599,1.213821769,1793.476807,4.95E+12,,,
2010,1677887585,1.179685712,1832.569458,5.31E+12,,,
2011,1780129996,1.171793699,1920.216431,5.68E+12,,,
2012,1963586045,1.184674501,2036.41748,5.95E+12,,,
2013,2036937081,1.15411067,2051.262207,6.32E+12,,,
2014,2185855918,1.154710889,2107.812744,6.75E+12,,,
2015,2268567478,1.106149077,2277.954346,7.26E+12,,,
2016,2382223220,1.078716993,2498.029297,7.77E+12,,,
2017,2433855754,1.051404119,2571.887451,8.28E+12,,,
2018,2599805717,1.04805398,2688.04126,8.84E+12,,,
